entity_id,name,url_key,is_active,parent_id,path,level,description
13,Casual Kilt Outfits,casual-kilt-outfits,1,4,1/3/4/13,3,"<style>#html-body [data-pb-style=PSWE3RO]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""PSWE3RO""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>The Utility Kilt ™ offers complete outfits shaped for every occasion. Every casual kilt outfit we make is crafted from breathable fabric that stays comfortable through long hours. We design each outfit in a way that maintains great looks without appearing too stiff or too rigid. The set arrives ready to wear. They aren’t kilts that only come in the “one size fits all” category, but instead, are constructed according to your measurements.</p>
<p>&nbsp;</p></div></div></div>"
14,Argyll Kilt Outfits,argyll-kilt-outfits,1,4,1/3/4/14,3,"<style>#html-body [data-pb-style=TYBQB09]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""TYBQB09""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>People struggle to style a kilt for a semi-formal Highland look that feels easy to wear. The Utility Kilt™ solves this problem by offering the Argyll kilt outfit, which offers a structured look with a more relaxed feel than a Prince Charlie outfit. The Argyll kilt outfit comes with all the accessories to complete your look that works well for both daytime events and evening functions.&nbsp;</p></div></div></div>"
15,Prince Charlie Kilt Outfits,prince-charlie-kilt-outfits,1,4,1/3/4/15,3,"<style>#html-body [data-pb-style=VJE2E5A]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""VJE2E5A""><div data-content-type=""text"" data-appearance=""default"" data-element=""main""><p>The Utility Kilt™ understands that finding an outfit suitable for formal occasions can be frustrating. The Prince Charlie outfit solved this problem by providing an entire kilt outfit that includes all necessary items. The package includes a shirt and jackets plus a kilt and all required accessories which create the ideal formal evening outfit. Our Prince Charlie outfits are custom-made to fit your specific body measurements because each piece is crafted by hand.</p></div></div></div>"
16,Prince Charlie Jackets,prince-charlie-jackets,1,5,1/3/5/16,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Having hard time finding the perfect Prince Charlie jacket for you to match with your kilt outfit? We got you here. Find a perfect fit Prince Charlie jacket here with an exact size measurements of your shoulders, chest and waist.&lt;/p&gt;</div>"
17,Argyle Kilt Jacket,argyle-kilt-jacket,1,5,1/3/5/17,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Kilt outfit hunting can be tricky specially when trying to get an argyle kilt jacket. Argyle Jackets look stunning when wearing with kilts and it's a beautiful combination with no doubts. Argyle kilt jacket and a traditional kilts combo makes a perfect traditional dress outfit suitable for any occasion.&lt;/p&gt;</div>"
18,Dress Sporrans,dress-sporrans,1,6,1/3/48/6/18,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Designed to be worn with formal kilt attires these classic sporrans are made with different kinds of leathers and hides. There is a wide variety of colors and designs to best suit the rest of your attire. These sporrans are handmade and use only the best quality materials in their construction. Having a classic sporran on with your kilt will definitely create a much more authentic look and they are quite handy too for kilts which have no pockets. &lt;/p&gt;</div>"
19,Leather Sporrans,leather-sporrans,1,6,1/3/48/6/19,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Using the hide and leather from different animals, each leather sporran is unique. Some use cow hide and have a firm leather whereas other leathers such as sheep leather is very soft and malleable. The fur of different animals is also used to decorate the sporran which could be light or dark colored fur. If you are looking for a sporran which has both style and durability, then there is nothing better than a leather sporran. &lt;/p&gt;</div>"
20,Horse Hair Sporrans,horse-hair-sporrans,1,6,1/3/48/6/20,4,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;For those looking for a truly unique sporran the horse hair sporran is a great choice. These are made with authentic horse hair and quality materials. Available in both light and dark colors these sporrans are also a little larger than the regular sporrans. Featuring stylish silver chains and metal mouthpieces these sporrans work well with formal outfits and casual ones too. Have a look at our range of original horse hair sporrans and see which one works best for you. &lt;/p&gt;</div>"
21,Scottish Hats,scottish-hats,1,48,1/3/48/21,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main""></div>"
22,Kilt Pins,kilt-pins,1,48,1/3/48/22,3,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;Kilt pins are a great addition to any kind of kilt. They are generally used to decorate the front apron of the kilt either near the top or near the bottom portion by your knees. You can wear the kilt pins just for style or they can be used to tie the apron to the inner sleeve of the kilt. Available in many styles pick the one which suits your needs&lt;/p&gt;</div>"
